indicator,year,fips,location,age,vaccine,percent,population 
Childhood immunizations,2018,27001,Aitkin,Childhood (24-35 months),Hib,90.9,110
Childhood immunizations,2018,27001,Aitkin,Childhood (24-35 months),MMR,86.4,110
Childhood immunizations,2018,27001,Aitkin,Childhood (24-35 months),PCV,85.5,110
Childhood immunizations,2018,27001,Aitkin,Childhood (24-35 months),Polio,88.2,110
Childhood immunizations,2018,27001,Aitkin,Childhood (24-35 months),Rotavirus,71.8,110
Childhood immunizations,2018,27001,Aitkin,Childhood (24-35 months),Seven vaccine series,70.9,110
Childhood immunizations,2018,27001,Aitkin,Childhood (24-35 months),Varicella,87.3,110
Childhood immunizations,2019,27001,Aitkin,Childhood (24-35 months),DTap,73.6,125
Childhood immunizations,2019,27001,Aitkin,Childhood (24-35 months),Hep A,28.8,125
Childhood immunizations,2019,27001,Aitkin,Childhood (24-35 months),Hep B,88.8,125
Childhood immunizations,2019,27001,Aitkin,Childhood (24-35 months),Hib,82.4,125
Childhood immunizations,2019,27001,Aitkin,Childhood (24-35 months),MMR,86.4,125
Childhood immunizations,2019,27001,Aitkin,Childhood (24-35 months),PCV,84,125
Childhood immunizations,2019,27001,Aitkin,Childhood (24-35 months),Polio,88.8,125
Childhood immunizations,2019,27001,Aitkin,Childhood (24-35 months),Rotavirus,80.8,125
Childhood immunizations,2019,27001,Aitkin,Childhood (24-35 months),Seven vaccine series,68,125
Childhood immunizations,2019,27001,Aitkin,Childhood (24-35 months),Varicella,88,125
Childhood immunizations,2015,27003,Anoka,Childhood (24-35 months),DTap,63.5,4352
Childhood immunizations,2015,27003,Anoka,Childhood (24-35 months),Hep A,40.9,4352
Childhood immunizations,2015,27003,Anoka,Childhood (24-35 months),Hep B,73.1,4352
Childhood immunizations,2015,27003,Anoka,Childhood (24-35 months),Hib,69.1,4352
Childhood immunizations,2015,27003,Anoka,Childhood (24-35 months),MMR,72.4,4352
Childhood immunizations,2015,27003,Anoka,Childhood (24-35 months),PCV,69.8,4352
Childhood immunizations,2015,27003,Anoka,Childhood (24-35 months),Polio,75.6,4352
Childhood immunizations,2015,27003,Anoka,Childhood (24-35 months),Rotavirus,66.5,4352
Childhood immunizations,2015,27003,Anoka,Childhood (24-35 months),Seven vaccine series,57.3,4352
Childhood immunizations,2015,27003,Anoka,Childhood (24-35 months),Varicella,73.4,4352
Childhood immunizations,2016,27003,Anoka,Childhood (24-35 months),DTap,64.5,4597
Childhood immunizations,2016,27003,Anoka,Childhood (24-35 months),Hep A,41.2,4597
Childhood immunizations,2016,27003,Anoka,Childhood (24-35 months),Hep B,72.8,4597
Childhood immunizations,2016,27003,Anoka,Childhood (24-35 months),Hib,69.8,4597
Childhood immunizations,2016,27003,Anoka,Childhood (24-35 months),MMR,72.5,4597
Childhood immunizations,2016,27003,Anoka,Childhood (24-35 months),PCV,70.1,4597
Childhood immunizations,2016,27003,Anoka,Childhood (24-35 months),Polio,75.8,4597
Childhood immunizations,2016,27003,Anoka,Childhood (24-35 months),Rotavirus,68.5,4597
Childhood immunizations,2016,27003,Anoka,Childhood (24-35 months),Seven vaccine series,57.9,4597
Childhood immunizations,2016,27003,Anoka,Childhood (24-35 months),Varicella,73.4,4597
Childhood immunizations,2017,27003,Anoka,Childhood (24-35 months),DTap,64.2,4116
Childhood immunizations,2017,27003,Anoka,Childhood (24-35 months),Hep A,43.4,4116
Childhood immunizations,2017,27003,Anoka,Childhood (24-35 months),Hep B,73.1,4116
Childhood immunizations,2017,27003,Anoka,Childhood (24-35 months),Hib,77.4,4116
Childhood immunizations,2017,27003,Anoka,Childhood (24-35 months),MMR,76.9,4116
Childhood immunizations,2017,27003,Anoka,Childhood (24-35 months),PCV,71.5,4116
Childhood immunizations,2017,27003,Anoka,Childhood (24-35 months),Polio,73.8,4116
Childhood immunizations,2017,27003,Anoka,Childhood (24-35 months),Rotavirus,66.5,4116
Childhood immunizations,2017,27003,Anoka,Childhood (24-35 months),Seven vaccine series,58.4,4116
Childhood immunizations,2017,27003,Anoka,Childhood (24-35 months),Varicella,79.5,4116
Childhood immunizations,2018,27003,Anoka,Childhood (24-35 months),DTap,73.6,4258
Childhood immunizations,2018,27003,Anoka,Childhood (24-35 months),Hep A,47,4258
Childhood immunizations,2018,27003,Anoka,Childhood (24-35 months),Hep B,81.1,4258
Childhood immunizations,2018,27003,Anoka,Childhood (24-35 months),Hib,84.5,4258
Childhood immunizations,2018,27003,Anoka,Childhood (24-35 months),MMR,84.3,4258
Childhood immunizations,2018,27003,Anoka,Childhood (24-35 months),PCV,80.7,4258
Childhood immunizations,2018,27003,Anoka,Childhood (24-35 months),Polio,84.3,4258
Childhood immunizations,2018,27003,Anoka,Childhood (24-35 months),Rotavirus,74.8,4258
Childhood immunizations,2018,27003,Anoka,Childhood (24-35 months),Seven vaccine series,69.7,4258
Childhood immunizations,2018,27003,Anoka,Childhood (24-35 months),Varicella,83.8,4258
Childhood immunizations,2019,27003,Anoka,Childhood (24-35 months),DTap,77,4134
Childhood immunizations,2019,27003,Anoka,Childhood (24-35 months),Hep A,51.2,4134
Childhood immunizations,2019,27003,Anoka,Childhood (24-35 months),Hep B,86.7,4134
Childhood immunizations,2019,27003,Anoka,Childhood (24-35 months),Hib,84.4,4134
Childhood immunizations,2019,27003,Anoka,Childhood (24-35 months),MMR,86.2,4134
Childhood immunizations,2019,27003,Anoka,Childhood (24-35 months),PCV,84.1,4134
Childhood immunizations,2019,27003,Anoka,Childhood (24-35 months),Polio,87.3,4134
Childhood immunizations,2019,27003,Anoka,Childhood (24-35 months),Rotavirus,78.2,4134
Childhood immunizations,2019,27003,Anoka,Childhood (24-35 months),Seven vaccine series,73.2,4134
Childhood immunizations,2019,27003,Anoka,Childhood (24-35 months),Varicella,87.4,4134
Childhood immunizations,2015,27005,Becker,Childhood (24-35 months),DTap,68.4,474
Childhood immunizations,2015,27005,Becker,Childhood (24-35 months),Hep A,34.8,474
Childhood immunizations,2015,27005,Becker,Childhood (24-35 months),Hep B,86.1,474
Childhood immunizations,2015,27005,Becker,Childhood (24-35 months),Hib,80.2,474
Childhood immunizations,2015,27005,Becker,Childhood (24-35 months),MMR,85.2,474
Childhood immunizations,2015,27005,Becker,Childhood (24-35 months),PCV,83.5,474
Childhood immunizations,2015,27005,Becker,Childhood (24-35 months),Polio,85.9,474
Childhood immunizations,2015,27005,Becker,Childhood (24-35 months),Rotavirus,48.1,474
Childhood immunizations,2015,27005,Becker,Childhood (24-35 months),Seven vaccine series,61.8,474
Childhood immunizations,2015,27005,Becker,Childhood (24-35 months),Varicella,86.1,474
Childhood immunizations,2016,27005,Becker,Childhood (24-35 months),DTap,68.8,462
Childhood immunizations,2016,27005,Becker,Childhood (24-35 months),Hep A,31.6,462
Childhood immunizations,2016,27005,Becker,Childhood (24-35 months),Hep B,82.3,462
Childhood immunizations,2016,27005,Becker,Childhood (24-35 months),Hib,76.2,462
Childhood immunizations,2016,27005,Becker,Childhood (24-35 months),MMR,81.4,462
Childhood immunizations,2016,27005,Becker,Childhood (24-35 months),PCV,78.6,462
Childhood immunizations,2016,27005,Becker,Childhood (24-35 months),Polio,83.3,462
Childhood immunizations,2016,27005,Becker,Childhood (24-35 months),Rotavirus,50.6,462
Childhood immunizations,2016,27005,Becker,Childhood (24-35 months),Seven vaccine series,62.8,462
Childhood immunizations,2016,27005,Becker,Childhood (24-35 months),Varicella,81.2,462
Childhood immunizations,2017,27005,Becker,Childhood (24-35 months),DTap,77.2,395
Childhood immunizations,2017,27005,Becker,Childhood (24-35 months),Hep A,42,395
Childhood immunizations,2017,27005,Becker,Childhood (24-35 months),Hep B,88.4,395
Childhood immunizations,2017,27005,Becker,Childhood (24-35 months),Hib,83.5,395
Childhood immunizations,2017,27005,Becker,Childhood (24-35 months),MMR,88.4,395
Childhood immunizations,2017,27005,Becker,Childhood (24-35 months),PCV,86.1,395
Childhood immunizations,2017,27005,Becker,Childhood (24-35 months),Polio,87.8,395
Childhood immunizations,2017,27005,Becker,Childhood (24-35 months),Rotavirus,57.7,395
Childhood immunizations,2017,27005,Becker,Childhood (24-35 months),Seven vaccine series,74.4,395
Childhood immunizations,2017,27005,Becker,Childhood (24-35 months),Varicella,89.4,395
Childhood immunizations,2018,27005,Becker,Childhood (24-35 months),DTap,75.9,378
Childhood immunizations,2018,27005,Becker,Childhood (24-35 months),Hep A,37.4,378
Childhood immunizations,2018,27005,Becker,Childhood (24-35 months),Hep B,80.7,378
Childhood immunizations,2018,27005,Becker,Childhood (24-35 months),Hib,85.4,378
Childhood immunizations,2018,27005,Becker,Childhood (24-35 months),MMR,85.2,378
Childhood immunizations,2018,27005,Becker,Childhood (24-35 months),PCV,82.7,378
Childhood immunizations,2018,27005,Becker,Childhood (24-35 months),Polio,85.2,378
Childhood immunizations,2018,27005,Becker,Childhood (24-35 months),Rotavirus,53.3,378
Childhood immunizations,2018,27005,Becker,Childhood (24-35 months),Seven vaccine series,70.9,378
Childhood immunizations,2018,27005,Becker,Childhood (24-35 months),Varicella,84.7,378
Childhood immunizations,2019,27005,Becker,Childhood (24-35 months),DTap,75.9,411
Childhood immunizations,2019,27005,Becker,Childhood (24-35 months),Hep A,39.2,411
Childhood immunizations,2019,27005,Becker,Childhood (24-35 months),Hep B,87.3,411
Childhood immunizations,2019,27005,Becker,Childhood (24-35 months),Hib,82.5,411
Childhood immunizations,2019,27005,Becker,Childhood (24-35 months),MMR,85.6,411
Childhood immunizations,2019,27005,Becker,Childhood (24-35 months),PCV,83.5,411
Childhood immunizations,2019,27005,Becker,Childhood (24-35 months),Polio,86.6,411
Childhood immunizations,2019,27005,Becker,Childhood (24-35 months),Rotavirus,56.2,411
Childhood immunizations,2019,27005,Becker,Childhood (24-35 months),Seven vaccine series,73,411
Childhood immunizations,2019,27005,Becker,Childhood (24-35 months),Varicella,87.4,411
Childhood immunizations,2015,27007,Beltrami,Childhood (24-35 months),DTap,68.2,757
Childhood immunizations,2015,27007,Beltrami,Childhood (24-35 months),Hep A,10.2,757
Childhood immunizations,2015,27007,Beltrami,Childhood (24-35 months),Hep B,86,757
Childhood immunizations,2015,27007,Beltrami,Childhood (24-35 months),Hib,80.2,757
Childhood immunizations,2015,27007,Beltrami,Childhood (24-35 months),MMR,84.8,757
Childhood immunizations,2015,27007,Beltrami,Childhood (24-35 months),PCV,80.3,757
Childhood immunizations,2015,27007,Beltrami,Childhood (24-35 months),Polio,84.1,757
Childhood immunizations,2015,27007,Beltrami,Childhood (24-35 months),Rotavirus,63.5,757
Childhood immunizations,2015,27007,Beltrami,Childhood (24-35 months),Seven vaccine series,62.2,757
Childhood immunizations,2015,27007,Beltrami,Childhood (24-35 months),Varicella,86.3,757
Childhood immunizations,2016,27007,Beltrami,Childhood (24-35 months),DTap,63.9,735
Childhood immunizations,2016,27007,Beltrami,Childhood (24-35 months),Hep A,16.5,735
Childhood immunizations,2016,27007,Beltrami,Childhood (24-35 months),Hep B,86.3,735
Childhood immunizations,2016,27007,Beltrami,Childhood (24-35 months),Hib,80.7,735
Childhood immunizations,2016,27007,Beltrami,Childhood (24-35 months),MMR,83.5,735
Childhood immunizations,2016,27007,Beltrami,Childhood (24-35 months),PCV,79.6,735
Childhood immunizations,2016,27007,Beltrami,Childhood (24-35 months),Polio,84.6,735
Childhood immunizations,2016,27007,Beltrami,Childhood (24-35 months),Rotavirus,63.8,735
Childhood immunizations,2016,27007,Beltrami,Childhood (24-35 months),Seven vaccine series,60.3,735
Childhood immunizations,2016,27007,Beltrami,Childhood (24-35 months),Varicella,85.6,735
Childhood immunizations,2017,27007,Beltrami,Childhood (24-35 months),DTap,60.7,647
Childhood immunizations,2017,27007,Beltrami,Childhood (24-35 months),Hep A,15.8,647
Childhood immunizations,2017,27007,Beltrami,Childhood (24-35 months),Hep B,84.2,647
Childhood immunizations,2017,27007,Beltrami,Childhood (24-35 months),Hib,79.1,647
Childhood immunizations,2017,27007,Beltrami,Childhood (24-35 months),MMR,81,647
Childhood immunizations,2017,27007,Beltrami,Childhood (24-35 months),PCV,78.5,647
Childhood immunizations,2017,27007,Beltrami,Childhood (24-35 months),Polio,82.4,647
Childhood immunizations,2017,27007,Beltrami,Childhood (24-35 months),Rotavirus,63.5,647
Childhood immunizations,2017,27007,Beltrami,Childhood (24-35 months),Seven vaccine series,58,647
Childhood immunizations,2017,27007,Beltrami,Childhood (24-35 months),Varicella,83.8,647
Childhood immunizations,2018,27007,Beltrami,Childhood (24-35 months),DTap,65.7,717
Childhood immunizations,2018,27007,Beltrami,Childhood (24-35 months),Hep A,14.1,717
Childhood immunizations,2018,27007,Beltrami,Childhood (24-35 months),Hep B,81.4,717
Childhood immunizations,2018,27007,Beltrami,Childhood (24-35 months),Hib,85.8,717
Childhood immunizations,2018,27007,Beltrami,Childhood (24-35 months),MMR,83.8,717
Childhood immunizations,2018,27007,Beltrami,Childhood (24-35 months),PCV,79.2,717
Childhood immunizations,2018,27007,Beltrami,Childhood (24-35 months),Polio,82.7,717
Childhood immunizations,2018,27007,Beltrami,Childhood (24-35 months),Rotavirus,63.2,717
Childhood immunizations,2018,27007,Beltrami,Childhood (24-35 months),Seven vaccine series,62.5,717
Childhood immunizations,2018,27007,Beltrami,Childhood (24-35 months),Varicella,85.8,717
Childhood immunizations,2019,27007,Beltrami,Childhood (24-35 months),DTap,66.3,647
Childhood immunizations,2019,27007,Beltrami,Childhood (24-35 months),Hep A,13.3,647
Childhood immunizations,2019,27007,Beltrami,Childhood (24-35 months),Hep B,85.2,647
Childhood immunizations,2019,27007,Beltrami,Childhood (24-35 months),Hib,78.5,647
Childhood immunizations,2019,27007,Beltrami,Childhood (24-35 months),MMR,81.5,647
Childhood immunizations,2019,27007,Beltrami,Childhood (24-35 months),PCV,78.8,647
Childhood immunizations,2019,27007,Beltrami,Childhood (24-35 months),Polio,82.2,647
Childhood immunizations,2019,27007,Beltrami,Childhood (24-35 months),Rotavirus,69.2,647
Childhood immunizations,2019,27007,Beltrami,Childhood (24-35 months),Seven vaccine series,64.5,647
Childhood immunizations,2019,27007,Beltrami,Childhood (24-35 months),Varicella,84.1,647
Childhood immunizations,2015,27009,Benton,Childhood (24-35 months),DTap,72.5,590
Childhood immunizations,2015,27009,Benton,Childhood (24-35 months),Hep A,17.8,590
Childhood immunizations,2015,27009,Benton,Childhood (24-35 months),Hep B,83.7,590
Childhood immunizations,2015,27009,Benton,Childhood (24-35 months),Hib,77.3,590
Childhood immunizations,2015,27009,Benton,Childhood (24-35 months),MMR,80.8,590
Childhood immunizations,2015,27009,Benton,Childhood (24-35 months),PCV,79.3,590
Childhood immunizations,2015,27009,Benton,Childhood (24-35 months),Polio,84.4,590
Childhood immunizations,2015,27009,Benton,Childhood (24-35 months),Rotavirus,71.4,590
Childhood immunizations,2015,27009,Benton,Childhood (24-35 months),Seven vaccine series,65.4,590
Childhood immunizations,2015,27009,Benton,Childhood (24-35 months),Varicella,81,590
Childhood immunizations,2016,27009,Benton,Childhood (24-35 months),DTap,74.2,577
Childhood immunizations,2016,27009,Benton,Childhood (24-35 months),Hep A,25.3,577
Childhood immunizations,2016,27009,Benton,Childhood (24-35 months),Hep B,88.9,577
Childhood immunizations,2016,27009,Benton,Childhood (24-35 months),Hib,80.1,577
Childhood immunizations,2016,27009,Benton,Childhood (24-35 months),MMR,88.6,577
Childhood immunizations,2016,27009,Benton,Childhood (24-35 months),PCV,88.4,577
Childhood immunizations,2016,27009,Benton,Childhood (24-35 months),Polio,89.6,577
Childhood immunizations,2016,27009,Benton,Childhood (24-35 months),Rotavirus,78.5,577
Childhood immunizations,2016,27009,Benton,Childhood (24-35 months),Seven vaccine series,68.3,577
Childhood immunizations,2016,27009,Benton,Childhood (24-35 months),Varicella,87.9,577
Childhood immunizations,2017,27009,Benton,Childhood (24-35 months),DTap,77.5,494
Childhood immunizations,2017,27009,Benton,Childhood (24-35 months),Hep A,25.7,494
Childhood immunizations,2017,27009,Benton,Childhood (24-35 months),Hep B,85,494
Childhood immunizations,2017,27009,Benton,Childhood (24-35 months),Hib,84.2,494
Childhood immunizations,2017,27009,Benton,Childhood (24-35 months),MMR,88.9,494
Childhood immunizations,2017,27009,Benton,Childhood (24-35 months),PCV,85.8,494
Childhood immunizations,2017,27009,Benton,Childhood (24-35 months),Polio,86.4,494
Childhood immunizations,2017,27009,Benton,Childhood (24-35 months),Rotavirus,80.4,494
Childhood immunizations,2017,27009,Benton,Childhood (24-35 months),Seven vaccine series,72.1,494
Childhood immunizations,2017,27009,Benton,Childhood (24-35 months),Varicella,87.7,494
Childhood immunizations,2018,27009,Benton,Childhood (24-35 months),DTap,81,452
Childhood immunizations,2018,27009,Benton,Childhood (24-35 months),Hep A,30.3,452
Childhood immunizations,2018,27009,Benton,Childhood (24-35 months),Hep B,85.8,452
Childhood immunizations,2018,27009,Benton,Childhood (24-35 months),Hib,90.1,452
Childhood immunizations,2018,27009,Benton,Childhood (24-35 months),MMR,88.5,452
Childhood immunizations,2018,27009,Benton,Childhood (24-35 months),PCV,87.4,452
Childhood immunizations,2018,27009,Benton,Childhood (24-35 months),Polio,89.4,452
Childhood immunizations,2018,27009,Benton,Childhood (24-35 months),Rotavirus,80.4,452
Childhood immunizations,2018,27009,Benton,Childhood (24-35 months),Seven vaccine series,76.1,452
Childhood immunizations,2018,27009,Benton,Childhood (24-35 months),Varicella,88.3,452
Childhood immunizations,2019,27009,Benton,Childhood (24-35 months),DTap,81,426
Childhood immunizations,2019,27009,Benton,Childhood (24-35 months),Hep A,24.7,426
Childhood immunizations,2019,27009,Benton,Childhood (24-35 months),Hep B,88,426
Childhood immunizations,2019,27009,Benton,Childhood (24-35 months),Hib,84.7,426
Childhood immunizations,2019,27009,Benton,Childhood (24-35 months),MMR,88,426
Childhood immunizations,2019,27009,Benton,Childhood (24-35 months),PCV,86.4,426
Childhood immunizations,2019,27009,Benton,Childhood (24-35 months),Polio,88,426
Childhood immunizations,2019,27009,Benton,Childhood (24-35 months),Rotavirus,82.6,426
Childhood immunizations,2019,27009,Benton,Childhood (24-35 months),Seven vaccine series,75.1,426
Childhood immunizations,2019,27009,Benton,Childhood (24-35 months),Varicella,87.8,426
Childhood immunizations,2015,27011,Big Stone,Childhood (24-35 months),DTap,81,58
Childhood immunizations,2015,27011,Big Stone,Childhood (24-35 months),Hep A,39.7,58
Childhood immunizations,2015,27011,Big Stone,Childhood (24-35 months),Hep B,87.9,58
Childhood immunizations,2015,27011,Big Stone,Childhood (24-35 months),Hib,86.2,58
Childhood immunizations,2015,27011,Big Stone,Childhood (24-35 months),MMR,87.9,58
Childhood immunizations,2015,27011,Big Stone,Childhood (24-35 months),PCV,87.9,58
Childhood immunizations,2015,27011,Big Stone,Childhood (24-35 months),Polio,89.7,58
Childhood immunizations,2015,27011,Big Stone,Childhood (24-35 months),Rotavirus,50,58
Childhood immunizations,2015,27011,Big Stone,Childhood (24-35 months),Seven vaccine series,77.6,58
Childhood immunizations,2015,27011,Big Stone,Childhood (24-35 months),Varicella,91.4,58
Childhood immunizations,2016,27011,Big Stone,Childhood (24-35 months),DTap,90.9,55
Childhood immunizations,2016,27011,Big Stone,Childhood (24-35 months),Hep A,56.4,55
Childhood immunizations,2016,27011,Big Stone,Childhood (24-35 months),Hep B,94.5,55
Childhood immunizations,2016,27011,Big Stone,Childhood (24-35 months),Hib,90.9,55
Childhood immunizations,2016,27011,Big Stone,Childhood (24-35 months),MMR,94.5,55
Childhood immunizations,2016,27011,Big Stone,Childhood (24-35 months),PCV,92.7,55
Childhood immunizations,2016,27011,Big Stone,Childhood (24-35 months),Polio,94.5,55
Childhood immunizations,2016,27011,Big Stone,Childhood (24-35 months),Rotavirus,89.1,55
Childhood immunizations,2016,27011,Big Stone,Childhood (24-35 months),Seven vaccine series,87.3,55
Childhood immunizations,2016,27011,Big Stone,Childhood (24-35 months),Varicella,92.7,55
Childhood immunizations,2017,27011,Big Stone,Childhood (24-35 months),DTap,73.4,64
Childhood immunizations,2017,27011,Big Stone,Childhood (24-35 months),Hep A,59.4,64
Childhood immunizations,2017,27011,Big Stone,Childhood (24-35 months),Hep B,85.9,64
Childhood immunizations,2017,27011,Big Stone,Childhood (24-35 months),Hib,79.7,64
Childhood immunizations,2017,27011,Big Stone,Childhood (24-35 months),MMR,89.1,64
Childhood immunizations,2017,27011,Big Stone,Childhood (24-35 months),PCV,79.7,64
Childhood immunizations,2017,27011,Big Stone,Childhood (24-35 months),Polio,84.4,64
Childhood immunizations,2017,27011,Big Stone,Childhood (24-35 months),Rotavirus,68.8,64
